project,original_sample,new_sample
battery-123,arpy,arpy
battery-123,bass,bbass
battery-123,bass3,bass3
battery-123,hand,hand
battery-123,jvbass,jvbass
battery-123,peri,peri
battery-123,psr,psr
battery-123,rm,rm
battery-123,tacscan,tacscan
battery-123,tok,tok
battery-123,trump,trump
battery-123,uxay,uxay
battery-123,warbler,warbler
battery-123,wobble,wobble
pigs-nose,armora,armora
pigs-nose,baa,baa
pigs-nose,bass,pbass
pigs-nose,bd,pbd
pigs-nose,casio,casio
pigs-nose,hh,phh
pigs-nose,ho,ho
pigs-nose,house,house
pigs-nose,jungbass,jungbass
pigs-nose,monsterb,monsterb
pigs-nose,print,print
pigs-nose,qlatibro,qlatibro
pigs-nose,qspace,qspace
pigs-nose,rm,rm
pigs-nose,sn,psn
pigs-nose,wobble,wobble
piston,ant,ant
piston,bz,bz
piston,bzl,bzl
piston,cymb,cymb
piston,dubb,dubb
piston,ff,ff
piston,fly,fly
piston,gnome,gnome
piston,hh,hh
piston,ice,ice
piston,k,k
piston,plode,plode
piston,sn,sn
piston,wt,wt
piston,wtsn,wtsn
renixclusive,cy,cy
renixclusive,eg,eg
renixclusive,gt,gt
renixclusive,hh,rhh
renixclusive,k,k
renixclusive,pc,pc
renixclusive,pclow,pclow
renixclusive,sn,rsn
renixclusive,udu,udu
renixclusive,vb,vb
renixclusive,wb,wb
something-to-say,bass,sbass
something-to-say,bd,sbd
something-to-say,hh,hh
something-to-say,house,house
something-to-say,kurt,kurt
something-to-say,moog,moog
something-to-say,msg,msg
something-to-say,rm,rm
something-to-say,sitw,sitw
something-to-say,sitwc,sitwc
something-to-say,stab,stab
something-to-say,wobble,wobble
